City,Country,Latitude,Longitude,Recorded Time,Temperature C,Feels Like C,Humidity %,Precipitation mm,Rain mm,Cloud Cover %,Pressure hPa,Wind Speed kmh,Wind Direction,Weather Code
Marthandam,India,8.30812,77.22144,2026-09-04T16:15,31.8,34.0,57.0,0.0,0.0,19.0,1002.8,19.8,289.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T16:30,31.6,33.8,58.0,0.0,0.0,15.0,1002.8,20.3,287.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T16:45,31.4,33.6,60.0,0.0,0.0,14.0,1002.8,20.1,287.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T17:00,31.1,33.4,61.0,0.0,0.0,15.0,1002.9,19.8,287.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T17:15,30.8,33.3,62.0,0.0,0.0,16.0,1002.9,19.2,289.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T17:30,30.4,33.1,64.0,0.0,0.0,18.0,1003.1,18.7,291.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T17:45,30.1,32.9,66.0,0.0,0.0,19.0,1003.3,18.1,292.0,0.0
Marthandam,India,8.30812,77.22144,2026-09-04T18:00,29.3,32.1,68.0,0.0,0.0,42.0,1003.5,17.7,294.0,1.0
Marthandam,India,8.30812,77.22144,2026-09-04T18:15,29.0,32.1,70.0,0.0,0.0,42.0,1003.7,16.5,292.0,1.0
Marthandam,India,8.30812,77.22144,2026-09-04T18:30,28.8,32.0,72.0,0.0,0.0,44.0,1004.0,16.0,294.0,1.0
Marthandam,India,8.30812,77.22144,2026-09-04T18:45,28.6,31.9,73.0,0.0,0.0,51.0,1004.3,15.2,296.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T19:00,28.5,32.0,74.0,0.0,0.0,60.0,1004.6,14.5,298.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T19:15,28.3,32.0,75.0,0.0,0.0,68.0,1004.9,13.8,301.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T19:30,28.2,32.1,76.0,0.0,0.0,73.0,1005.1,13.2,302.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T19:45,28.1,32.1,77.0,0.0,0.0,72.0,1005.3,12.7,303.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T20:00,28.0,32.0,78.0,0.0,0.0,68.0,1005.5,12.4,304.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T20:15,27.9,31.9,78.0,0.0,0.0,61.0,1005.6,12.3,305.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-04T20:30,27.8,31.9,79.0,0.0,0.0,55.0,1005.8,12.0,306.0,2.0
Marthandam,India,8.30812,77.22144,2026-09-05T11:15,33.5,38.2,53.0,0.1,0.1,71.0,1006.1,15.9,288.0,51.0
Mumbai,India,19.07283,72.88261,2026-09-11T23:30,26.6,32.3,87.0,0.0,0.0,91.0,1008.4,4.6,315.0,3.0
Salem,India,11.65376,78.15538,2026-09-11T23:30,26.6,30.5,78.0,0.1,0.1,83.0,977.7,8.5,156.0,51.0
Saudi Arabia,Saudi Arabia,25.0,45.0,2026-09-11T21:00,35.7,31.8,11.0,0.0,0.0,22.0,925.0,13.4,54.0,1.0
